"","virus","host","importance_trefle","importance_clover","f_norm_G_trefle","f_norm_G_clover","G_pq_zeta_trefle","G_pq_zeta_clover","G_pq_trefle","G_pq_clover","importance_trefle_nrmlz","importance_clover_nrmlz","f_norm_G_trefle_nrmlz","f_norm_G_clover_nrmlz","G_pq_zeta_trefle_nrmlz","G_pq_zeta_clover_nrmlz","G_pq_trefle_nrmlz","G_pq_clover_nrmlz"
"1538","Akabane orthobunyavirus","Ovis aries",5.43248029092547e+38,115.476699816381,-3.86871970607509e+40,-376.488147480617,1.90736150933913e+40,156.617784312651,1.96168631224838e+40,272.094484129032,0.00732220918949705,0.00397046448673655,-0.00809778399393224,-0.00747781368761524,0.320347842110039,0.00541284796609057,0.327670051299536,0.00938331245282712
"1783","Alcelaphine gammaherpesvirus 1","Ammotragus lervia",0,5.56790448429201,0,-5.54480937539483,9.35919887927148e+39,3.80874736379626,9.35919887927148e+39,9.37665184808828,0,0.000192009466840203,0,-0.000143712398637863,0.1563312726273,0.000131348995693965,0.1563312726273,0.000323358462534168
"1794","Alcelaphine gammaherpesvirus 1","Axis porcinus",0,5.08081897365244,0,-1.6036543915834,1.93697086251826e+40,-3.62513458796738e-16,1.93697086251826e+40,5.08081897365244,0,0.000175214547618044,0,-4.15079690050391e-05,0.323541708949185,7.02881713006112e-19,0.323541708949185,0.000175214547618045
"1801","Alcelaphine gammaherpesvirus 1","Bison bison",8.58729287663148e+38,5.39650507358325,-5.96904554968874e+40,-3.11053100478603,2.94188450192379e+40,0.798295548388212,3.0277574306901e+40,6.19480062197146,0.0102146803121085,0.000186100833490039,-0.0248988051130965,-7.92268862870316e-05,0.495526439683616,2.75299205658242e-05,0.505741119995724,0.000213630754055863
"1808","Alcelaphine gammaherpesvirus 1","Bos taurus",0,253.207830599241,0,-191.699147301275,2.98150672766502e+40,7.52083357937091,2.98150672766502e+40,260.728664178612,0,0.00873173368614513,0,-0.00404840693655562,0.498015639046888,0.000259622861295861,0.498015639046888,0.00899135654744099
"1970","Alcelaphine gammaherpesvirus 1","Odocoileus virginianus",0,5.7258205166707,0,-5.02203158926568,1.90195371087547e+40,3.15915018394599,1.90195371087547e+40,8.88497070061669,0,0.000197455883246005,0,-0.000129954129035603,0.317692622984974,0.000108946712473522,0.317692622984974,0.000306402595719527
"2217","Allpahuayo mammarenavirus","Oecomys paricola",0,1.1752011936438,0,-3.76268726540729e-05,1.41712399183023e+40,6.73831650199741e-17,1.41712399183023e+40,1.1752011936438,0,4.05273926452175e-05,0,-1.29758248590406e-09,0.23670914569853,1.04523369309874e-18,0.23670914569853,4.05273926452185e-05
"2258","Alphaarterivirus equid","Equus caballus",5.24938688150559e+38,54.4297966036003,-3.07135031129677e+40,-41.451389675276,1.50955967635247e+40,6.99697660978412e-30,1.56205354516752e+40,54.4297966036003,0.00768250669230386,0.00187703837477724,-0.0127432738173638,-0.000782942024485589,0.253234930556378,2.06879681093538e-18,0.260917437248682,0.00187703837477724
"2385","Alphacoronavirus 1","Ailuropoda melanoleuca",0,10.2651085445712,0,-5.66666103203897,5.33085815998434e+39,2.97594072050167e-16,5.33085815998434e+39,10.2651085445712,0,0.000353997329803347,0,-0.00013907162322635,0.0890439289832519,1.08291545326557e-18,0.0890439289832519,0.000353997329803348
"2417","Alphacoronavirus 1","Canis lupus",0,18.2533395862994,0,-85.1509523703135,7.90357221048049e+39,50.1703485054523,7.90357221048049e+39,68.4236880917516,0,0.00062877542156534,0,-0.00191341426568226,0.132017229028299,0.00173084920145798,0.132017229028299,0.00235962462302332
"2418","Alphacoronavirus 1","Canis lupus familiaris",1.60370406125009e+38,54.7619546042831,-1.42611856085313e+40,-268.002517581757,7.05085448771074e+39,129.268092020391,7.21122489383575e+39,184.030046624674,0.00244817021574074,0.00188138385866206,-0.010224912009889,-0.00521971165906843,0.118004443239436,0.00446498304294988,0.120452613455177,0.00634636690161194
"2470","Alphacoronavirus 1","Felis catus",6.83865412095712e+38,62.8137257173115,-3.65746207227044e+40,-292.366756499978,1.79471165614818e+40,138.17691626596,1.86309819735775e+40,200.990641983271,0.00989163045573899,0.00215773107759131,-0.0179787652262604,-0.00562093112025597,0.301310766223365,0.00477353031809722,0.311202396679104,0.00693126139568853
"2472","Alphacoronavirus 1","Felis silvestris",2.31600545561684e+38,10.9908583688974,-1.8957602215787e+40,-8.95198590142536,9.36363689968938e+39,2.44217885714048,9.59523744525106e+39,13.4330372260379,0.00345062641263214,0.000379022206331878,-0.00571201084594009,-0.000219627897144026,0.15682331373191,8.42227061324193e-05,0.160273940144542,0.000463244912464297
"2650","Alphacoronavirus 1","Sus scrofa",4.85590789372891e+38,194.661993361291,-3.01797699817634e+40,-488.803447696482,1.4848340531697e+40,180.328283688062,1.53339313210699e+40,374.990277049353,0.00706342644697294,0.00669467528660892,-0.0133378342787722,-0.00944045216778688,0.249066721947637,0.0062370493221769,0.25613014839461,0.0129317246087858
"2723","Alphapapillomavirus 10","Homo sapiens",7.09152611603613e+38,2595.33282789901,-4.98589930183767e+40,-2525.82642685888,2.45772403286413e+40,-6.56231725668639e-18,2.52863929402449e+40,2595.33282789901,0.00896557867539866,0.0895013323081818,-0.0201076486417264,0.0141221150290822,0.413405399812684,1.46675779600691e-18,0.422370978488083,0.0895013323081818
"2977","Alphapapillomavirus 3","Homo sapiens",0,2595.33282789901,0,-2525.82642685871,3.00212808720898e+40,-1.74754611214373e-32,3.00212808720898e+40,2595.33282789901,0,0.0895013323081818,0,0.0141221150290916,0.501460125506036,2.14379117644465e-18,0.501460125506036,0.0895013323081818
"3007","Alphapapillomavirus 6","Homo sapiens",7.40743155222507e+38,2595.33282789901,-5.20189669955784e+40,-2525.8264268589,2.56415703467345e+40,-1.54074684622256e-17,2.63823135019571e+40,2595.33282789901,0.00923540042405951,0.0895013323081818,-0.0204358981579844,0.0141221150290813,0.431441274771713,9.88847492550208e-19,0.440676675195772,0.0895013323081818
"3037","Alphapapillomavirus 9","Homo sapiens",4.94581347051798e+38,2595.33282789901,-3.15078509877097e+40,-2525.82642685893,1.55079453512976e+40,9.3178051532313e-18,1.60025266983494e+40,2595.33282789901,0.00711824750097345,0.0895013323081818,-0.0137248343966547,0.0141221150290818,0.260179776216207,1.01401147452548e-18,0.26729802371718,0.0895013323081818
"3174","Andes orthohantavirus","Necromys lasiurus",4.99648722838458e+38,1.58058656356666,-3.15586097955385e+40,-0.000102173144114204,1.55307986213407e+40,-9.94568865918131e-18,1.60304473441791e+40,1.58058656356666,0.0072169536034673,5.4507307019326e-05,-0.0216279134765074,-3.52349571741684e-09,0.260547442305547,1.07608531004953e-18,0.267764395909014,5.45073070193271e-05
"3186","Andes orthohantavirus","Oligoryzomys flavescens",6.28682389101873e+38,1.58058656356666,-4.36456122305082e+40,-0.000102173173218034,2.15104146351501e+40,1.11867001685323e-16,2.2139097024252e+40,1.58058656356666,0.0082779268456008,5.4507307019326e-05,-0.0114934717531128,-3.52349260879237e-09,0.361522229905636,1.19597519143393e-18,0.369800156751237,5.45073070193271e-05
"3188","Andes orthohantavirus","Oligoryzomys fulvescens",5.65671458491324e+38,1.58058656356667,-3.82284714585667e+40,-0.000102173173218034,1.88330532625737e+40,-2.66715043408284e-16,1.93987247210651e+40,1.58058656356667,0.007737591291958,5.45073070193262e-05,-0.00730555418687118,-3.52349260879237e-09,0.316288787686628,1.05039916230609e-18,0.324026378978586,5.45073070193273e-05
"3306","Anopheles A orthobunyavirus","Homo sapiens",0,2595.33282789901,0,-2525.82642685894,2.82642233651017e+40,-1.27601016131347e-17,2.82642233651017e+40,2595.33282789901,0,0.0895013323081818,0,0.0141221150290822,0.472111135310394,1.27261880328167e-18,0.472111135310394,0.0895013323081818
"3743","Argentinian mammarenavirus","Homo sapiens",0,2595.33282789901,0,-2525.82642685893,2.42729542394989e+40,9.15043808151207e-18,2.42729542394989e+40,2595.33282789901,0,0.0895013323081818,0,0.0141221150290831,0.405443016612173,1.61539717641531e-18,0.405443016612173,0.0895013323081818
"4001","Ateline gammaherpesvirus 3","Aotus trivirgatus",0,1.38749491844309,0,-7.59442045819014e-05,1.54326829919823e+38,6.27444737876307e-16,1.54326829919823e+38,1.38749491844309,0,4.78484464252771e-05,0,-2.61897392661581e-09,0.00257779645812814,1.07224018611011e-18,0.00257779645812814,4.78484464252782e-05
"4646","Avian orthoavulavirus 1","Homo sapiens",6.16458163711697e+38,2642.72549108181,-4.29507120464835e+40,-3704.29021470356,2.11690307717764e+40,557.337855571116,2.17854889354881e+40,3200.06334665292,0.00816642867517436,0.0900758994891381,-0.0186418912455082,0.00480343154413498,0.355727239364705,0.0202798629461068,0.363893668039879,0.110355762435245
"4698","Avian orthoavulavirus 1","Sus scrofa",6.20943960382561e+38,216.259574121447,-4.31463467953233e+40,-1342.59930651085,2.12646202200116e+40,565.448253729124,2.18855641803942e+40,781.707827850571,0.008222336716534,0.00718743726379337,-0.0188603848424833,-0.0118395497899288,0.357342937044782,0.019770142633579,0.365565273761316,0.0269575798973724
"4897","Bakau orthobunyavirus","Macaca fascicularis",4.17159482258106e+38,2.17121219165731,-3.32459287647642e+40,-0.348733133927453,1.64156718058994e+40,0.140316323369213,1.68328312881575e+40,2.31152851502652,0.00567666421137347,7.48753144240698e-05,-0.00838082680577656,-7.52024475314528e-06,0.275490342830915,4.83888621304387e-06,0.281167007042288,7.97142006371136e-05
"4900","Bakau orthobunyavirus","Macaca nemestrina",0,5.5431424501683,0,-2.77266102765861,1.01377817941467e+40,0.140298962765676,1.01377817941467e+40,5.68344141293398,0,0.000191157888230596,0,-3.6783863470724e-05,0.16933632354014,4.83839135442957e-06,0.16933632354014,0.000195996279585025
"5115","Banzi virus","Homo sapiens",6.05113993170811e+38,2595.33282789901,-4.19839996849986e+40,-2525.82642685874,2.06912946884511e+40,4.70871480542446e-31,2.12964086816219e+40,2595.33282789901,0.00807257819234658,0.0895013323081818,-0.0183564164938446,0.0141221150290902,0.34765174335858,2.24498410950326e-18,0.355724321550927,0.0895013323081818
"5201","Barmah Forest virus","Felis catus",7.86762958483038e+38,79.0839755781278,-4.69412968510889e+40,-658.676685917875,2.30795969935038e+40,287.764828945721,2.38663599519869e+40,366.848804523849,0.0106043778490157,0.00265908345871151,-0.0212261190647496,-0.00548121488714681,0.388047095680283,0.0099918784555366,0.398651473529299,0.0126509619142481
"5215","Barmah Forest virus","Homo sapiens",5.65249846466393e+38,2627.72717417675,-3.85374310323591e+40,-3134.50117684345,1.89877555078363e+40,283.166772294658,1.95530053543027e+40,2910.89394647141,0.00772439736256308,0.090145568196876,-0.0153863524128752,0.0092683509585143,0.318879006428391,0.0102380448859659,0.326603403790954,0.100383613082842
"5696","Bayou orthohantavirus","Reithrodontomys fulvescens",0,1.1752011936438,0,-3.76268872059882e-05,1.23589955151303e+40,-7.25073755376837e-16,1.23589955151303e+40,1.1752011936438,0,4.05273926452175e-05,0,-1.29758204181485e-09,0.206438341806646,1.027293540133e-18,0.206438341806646,4.05273926452186e-05
"5736","Beluga whale coronavirus SW1","Delphinapterus leucas",0,1.1752011936438,0,-3.76268872059882e-05,6.69794604932668e+38,1.20126212579605e-16,6.69794604932668e+38,1.1752011936438,0,4.05273926452175e-05,0,-1.29758204181485e-09,0.0111879066081107,1.05664680521214e-18,0.0111879066081107,4.05273926452185e-05
"6015","Betaarterivirus suid 1","Sus scrofa",0,176.977309096654,0,-148.38627775028,2.19646551661762e+39,6.88916433601316e-18,2.19646551661762e+39,176.977309096654,0,0.00610314977030907,0,-0.00280486304134531,0.0366886369147806,8.7121119139129e-19,0.0366886369147806,0.00610314977030907
"6056","Betacoronavirus 1","Bos taurus",3.79236363170849e+38,327.108762621097,-2.16322855470491e+40,-1864.24005584951,1.06273579364791e+40,801.985349338355,1.100659429965e+40,1129.09411195945,0.00579812847488334,0.0108164633097724,-0.00979301718470538,-0.0228913705616751,0.178050394924655,0.028120903888523,0.183848523399538,0.0389373671982955
"6060","Betacoronavirus 1","Bubalus bubalis",0,59.3771765433952,0,-255.594229071401,1.18434748725021e+40,103.22872677689,1.18434748725021e+40,162.605903320285,0,0.00203891766952128,0,-0.00262512968616502,0.197827348583048,0.00356862708616323,0.197827348583048,0.00560754475568451
"6073","Betacoronavirus 1","Canis lupus familiaris",0,102.609310554944,0,-832.727637057964,5.5679800046922e+39,374.726367838262,5.5679800046922e+39,477.335678393206,0,0.00344186380544531,0,-0.0099940577333939,0.0930046910344797,0.013019292434391,0.0930046910344797,0.0164611562398363
"6131","Betacoronavirus 1","Equus caballus",4.78500012503466e+38,116.656250111701,-2.45540429168498e+40,-927.458840145744,1.20387969648454e+40,413.938844228211,1.25172969773489e+40,530.595094339912,0.00730422159136451,0.00390162697572541,-0.0120734776327538,-0.0107398884346281,0.201778306899058,0.0143962064848297,0.209082528490422,0.0182978334605551
"6166","Betacoronavirus 1","Homo sapiens",4.28785274903007e+38,2788.34402130139,-2.31405590560754e+40,-5266.72341920904,1.13568149515611e+40,1244.60796012561,1.17856002264641e+40,4032.95198142701,0.00654963736469166,0.0930209497899017,-0.010961958614331,-0.0099007106632123,0.190311002722823,0.046057387906324,0.196860640087515,0.139078337696226
"6171","Betacoronavirus 1","Kobus ellipsiprymnus",0,58.7636622906219,0,-217.445880355852,9.72078636109059e+39,85.8762603933865,9.72078636109059e+39,144.639922684008,0,0.0020209032934121,0,-0.00273384812522703,0.162371045040309,0.00296707576114749,0.162371045040309,0.00498797905455959
"6382","Betapapillomavirus 1","Homo sapiens",0,2595.33282789901,0,-2525.82642685888,6.36981375169366e+39,-6.80504544193023e-18,6.36981375169366e+39,2595.33282789901,0,0.0895013323081818,0,0.0141221150290822,0.106398111958773,1.46674907877793e-18,0.106398111958773,0.0895013323081818
"6640","Bhanja bandavirus","Homo sapiens",4.14750411712148e+38,2656.69387260939,-2.08753245659886e+40,-3453.40201992846,1.02311190154271e+40,424.49046956272,1.06458694271392e+40,3081.18434217211,0.0064287312853529,0.0908558057318716,-0.00895175475859844,0.00641967412058042,0.171394428286002,0.015400355615556,0.177823159571355,0.106256161347428
"6704","Bhanja bandavirus","Ovis aries",0,139.030623246172,0,-997.264223749007,6.34921888581494e+39,427.502557798039,6.34921888581494e+39,566.533181044211,0,0.0046446583942358,0,-0.00900335010646591,0.106054105849496,0.0148925177071032,0.106054105849496,0.019537176101339
"6770","Bhanja bandavirus","Ursus arctos",0,32.1011143000788,0,-42.0859748455405,4.29912821580474e+39,6.06336593542981,4.29912821580474e+39,38.1644802355086,0,0.0011069329969697,0,-0.000365256471932085,0.0718104395295216,0.000209187922555084,0.0718104395295216,0.00131612091952478
"6861","Bimiti orthobunyavirus","Homo sapiens",0,2616.73588402167,0,-2546.18987806707,1.82889886613022e+39,-5.07168753275705e-14,1.82889886613022e+39,2616.73588402167,0,0.0902394272522492,0,0.0141040749031611,0.0305489915255461,3.4947506580392e-17,0.0305489915255461,0.0902394272522492
"6863","Bimiti orthobunyavirus","Hylaeamys laticeps",0,23.1607181072174,0,-21.010865005941,1.26567235976235e+39,-2.01829059215995e-14,1.26567235976235e+39,23.1607181072174,0,0.000798708784294251,0,-2.09878572192679e-05,0.0211411439465263,4.90235963357112e-18,0.0211411439465263,0.000798708784294256
"7035","Bluetongue virus","Aepyceros melampus",0,17.135337558373,0,-20.2687027995562,7.9087315934769e+38,12.1795499369613,7.9087315934769e+38,29.3148874953342,0,0.000590891596898674,0,-0.000524423861937517,0.0132103408723827,0.000420046753317027,0.0132103408723827,0.0010109383502157
"7047","Bluetongue virus","Antilope cervicapra",0,15.5985277026361,0,-5.98747575790912,8.43546576665742e+38,-2.30989974044683e-17,8.43546576665742e+38,15.5985277026361,0,0.000537922919336009,0,-0.000155455180308905,0.014090170702818,7.73540954229345e-19,0.014090170702818,0.000537922919336009
"7069","Bluetongue virus","Bos taurus",0,295.813783811062,0,-520.920633827962,2.04190347117285e+39,180.870115208528,2.04190347117285e+39,476.68389901959,0,0.0101838037341763,0,-0.0109197040575704,0.0341069115367918,0.00625487557257354,0.0341069115367918,0.0164386793067499
"7082","Bluetongue virus","Canis aureus",0,15.5985277026361,0,-5.98747575789457,7.95108129551445e+38,-1.66999517245998e-17,7.95108129551445e+38,15.5985277026361,0,0.000537922919336008,0,-0.000155455180308905,0.0132810796492835,1.38595116687621e-18,0.0132810796492835,0.000537922919336009
"7085","Bluetongue virus","Canis lupus familiaris",0,65.2755894083411,0,-272.656115024132,1.03295146432022e+39,124.74868895074,1.03295146432022e+39,190.024278359081,0,0.00224452081146511,0,-0.00556836710195219,0.0172538931015838,0.00430856012721607,0.0172538931015838,0.00655308093868118
"7090","Bluetongue virus","Capra hircus",0,44.6700987249187,0,-191.033410997319,2.34580634130666e+39,94.690926917426,2.34580634130666e+39,139.361025642345,0,0.00153718543638858,0,-0.00404781601358417,0.0391831496909281,0.00326874825070687,0.0391831496909281,0.00480593368709545
"7092","Bluetongue virus","Capra nubiana",0,15.5985277026361,0,-5.98747575792368,1.31691372357387e+39,-3.80618026907538e-18,1.31691372357387e+39,15.5985277026361,0,0.000537922919336008,0,-0.000155455180305797,0.0219970534874118,1.55391679551174e-18,0.0219970534874118,0.000537922919336009
"7125","Bluetongue virus","Damaliscus lunatus",0,17.1297675661449,0,-19.9684405035223,1.63588772643664e+39,11.9918286951266,1.63588772643664e+39,29.1215962612715,0,0.000590700462348142,0,-0.00051714620187937,0.0273250321366317,0.000413572144350528,0.0273250321366317,0.00100427260669867
"7133","Bluetongue virus","Elephas maximus",0,15.5985277026361,0,-5.98747575792368,3.15220179969935e+38,-1.64253681564658e-17,3.15220179969935e+38,15.5985277026361,0,0.000537922919336008,0,-0.00015545518031157,0.00526527671098517,1.28972100504163e-18,0.00526527671098517,0.000537922919336009
"7172","Bluetongue virus","Hippotragus niger",0,18.4753407060814,0,-64.5785800081358,1.82368570396669e+39,31.5106204835944,1.82368570396669e+39,49.9859611896758,0,0.000636692021598973,0,-0.00120469077813112,0.0304619135303083,0.001087098497709,0.0304619135303083,0.00172379051930797
"7182","Bluetongue virus","Kobus leche",0,15.5985277026361,0,-5.98747575782181,2.42192007699194e+39,2.56793306542089e-13,2.42192007699194e+39,15.5985277026363,0,0.00053792291933598,0,-0.000155455180306685,0.0404545146141003,3.75143663506637e-17,0.0404545146141003,0.000537922919336018
"7204","Bluetongue virus","Lycaon pictus",0,15.5985277026361,0,-5.98747575789457,1.2024684936512e+39,1.58848855436018e-17,1.2024684936512e+39,15.5985277026361,0,0.000537922919336009,0,-0.000155455180308905,0.020085418883775,6.82394750063216e-19,0.020085418883775,0.000537922919336009
"7284","Bluetongue virus","Oreotragus oreotragus",0,15.5985277026361,0,-5.98747575788002,1.57081988396478e+39,-1.88189457111392e-16,1.57081988396478e+39,15.5985277026361,0,0.000537922919336007,0,-0.000155455180310682,0.0262381721658208,2.06658965684662e-18,0.0262381721658208,0.000537922919336009
"7286","Bluetongue virus","Oryx beisa",0,15.5985277026361,0,-5.98747575792368,2.11616718169115e+39,-1.20762706364498e-14,2.11616718169115e+39,15.5985277026361,0,0.000537922919336008,0,-0.000155455180309794,0.0353473745855111,4.63617003269713e-19,0.0353473745855111,0.000537922919336008
"7298","Bluetongue virus","Ovis canadensis",5.6475096908704e+38,16.5893833865225,-4.95943782615967e+39,-6.63404398204875,2.1975823624067e+39,0.340706944475547,2.76233333149374e+39,16.930090330998,0.00940803682125895,0.00057209280759313,-0.00255072146799762,-0.000173067452930109,0.0367325667393357,1.17497055649379e-05,0.0461406035605947,0.000583842513158068
"7478","Bovine alphaherpesvirus 1","Aepyceros melampus",2.13354404390844e+38,10.2865123310622,-1.61542480373284e+40,-14.3329486701405,7.97098237692885e+39,10.6983359479884,8.18433678131969e+39,20.9848482790506,0.00325244922892021,0.000354717527006818,0.00237966890064456,-0.000371318547855104,0.133454527632942,0.000368955313358908,0.136706976861862,0.000723672840365726
"7480","Bovine alphaherpesvirus 1","Alces alces",2.41038146808057e+38,10.0265818112413,-1.93329843938704e+40,-19.7349240244948,9.54662898248301e+39,7.87477782181462,9.78766712929107e+39,17.9013596330559,0.00358328330029895,0.000345737077425229,0.000273075854437366,-0.000358662889969885,0.159904903895224,0.000271600136539512,0.163488187195523,0.000617337213964742
"7484","Bovine alphaherpesvirus 1","Ammotragus lervia",1.91351904703555e+38,9.35245574548186,-1.30739414227247e+40,-6.406130527801,6.441720609019e+39,3.80457473948804,6.63307251372255e+39,13.1570304849699,0.00299056252699255,0.000322521223144215,0.00426145531025668,-0.000166416895734045,0.107804889185871,0.000131205460757613,0.110795451712864,0.000453726683901828
"7486","Bovine alphaherpesvirus 1","Antilocapra americana",0,8.86119761053406,0,-2.46725194502505,3.16044312698638e+39,5.53879458542533e-17,3.16044312698638e+39,8.86119761053406,0,0.000305582768985703,0,-6.4285699750144e-05,0.0527904260269811,2.05010047255798e-18,0.0527904260269811,0.000305582768985705
"7505","Bovine alphaherpesvirus 1","Bos taurus",5.75871275506323e+38,274.735635049511,-4.16817298437667e+40,-271.179971686084,2.0554730370917e+40,51.3099605077115,2.11306016464233e+40,326.045595557223,0.00759839918474331,0.00947184435330818,-0.0135634223234291,-0.00571763694669603,0.345356366429022,0.00177199877998631,0.352954765613766,0.0112438431332945
"7546","Bovine alphaherpesvirus 1","Cervus elaphus",0,10.9735151080441,0,-28.2896994307375,7.5382262022862e+39,14.6387774721926,7.5382262022862e+39,25.6122925802367,0,0.00037834743163954,0,-0.000576321757965736,0.125914676112492,0.000504905107208762,0.125914676112492,0.000883252538848303
"7556","Bovine alphaherpesvirus 1","Dama dama",4.64680785339638e+38,8.86119761053406,-3.5877586434846e+40,-2.46725194502505,1.77078903634595e+40,7.39888047862532e-17,1.81725711487991e+40,8.86119761053406,0.00626203890504085,0.000305582768985704,-0.0106505604542662,-6.42856997496999e-05,0.297283297747007,5.04520692114846e-19,0.303545336652048,0.000305582768985705
"7557","Bovine alphaherpesvirus 1","Damaliscus lunatus",0,10.279873714414,0,-14.1425829092623,1.69289549548347e+40,10.6095375774792,1.69289549548347e+40,20.8894112918932,0,0.000354489022176225,0,-0.00036670681788431,0.282772607621471,0.000365892626628155,0.282772607621471,0.00072038164880438
"7601","Bovine alphaherpesvirus 1","Hippopotamus amphibius",5.78505410706039e+38,8.86119761053448,-4.18099303523229e+40,-2.46725194499595,2.06175223453425e+40,-1.35372919871959e-13,2.11960277560485e+40,8.86119761053435,0.00763053261617613,0.000305582768985698,-0.0137999820415331,-6.42856997479235e-05,0.346417077279744,1.59499914335025e-17,0.35404760989592,0.000305582768985714
"7667","Bovine alphaherpesvirus 1","Odocoileus hemionus",0,9.91266646881433,0,-8.55399525930989,9.32515935053177e+39,5.6333953471911,9.32515935053177e+39,15.5460618160054,0,0.000341837330279921,0,-0.00021862459337374,0.155762693743984,0.000194276277085116,0.155762693743984,0.000536113607365037
"7709","Bovine alphaherpesvirus 1","Rangifer tarandus",0,9.61481181328177,0,-20.1591502322844,1.79596934259837e+40,8.46519182693718,1.79596934259837e+40,18.0800036402189,0,0.000331534271051524,0,-0.00037220828063278,0.299989536016649,0.000291963569588182,0.299989536016649,0.000623497840639706
"7803","Bovine alphaherpesvirus 2","Bos taurus",0,247.698280994649,0,-213.691379365438,1.99718814715902e+40,23.6497796485284,1.99718814715902e+40,271.348060643178,0,0.00854106672081998,0,-0.00448890983585359,0.333600096278575,0.00081650495004194,0.333600096278575,0.00935757167086192
"7836","Bovine alphaherpesvirus 2","Damaliscus lunatus",3.98921584623743e+38,6.08684103826108,-3.15999328397368e+40,-12.2847534221219,1.56017151910488e+40,9.11562871101072,1.60006367756725e+40,15.2024697492718,0.00550112585933893,0.000209894454866392,-0.00976088215588788,-0.000316880119413554,0.261765329555783,0.000314370210654807,0.267266455415122,0.000524264665521198
"7946","Bovine alphaherpesvirus 2","Syncerus caffer",0,6.65964785251137,0,-27.3546191968344,1.46944534916697e+40,15.7837222085022,1.46944534916697e+40,22.4433700610135,0,0.000229581481270675,0,-0.00057251693756033,0.245448637703723,0.000544389201931594,0.245448637703723,0.000773970683202269
