"","G_trefle_share","G_clover_share","virus","host"
"4897",0.204324409304249,7.97142006371308e-05,"Bakau orthobunyavirus","Macaca fascicularis"
"4900",0.258271652753233,0.000195996279585043,"Bakau orthobunyavirus","Macaca nemestrina"
"5115",0.0553892152929473,0.0895013323081812,"Banzi virus","Homo sapiens"
"5201",0.254328694908723,0.0126509619142473,"Barmah Forest virus","Felis catus"
"5215",0.501826373604233,0.100383613082841,"Barmah Forest virus","Homo sapiens"
"5696",0.265847735615966,4.05273926452362e-05,"Bayou orthohantavirus","Reithrodontomys fulvescens"
"5736",0.208468840397332,4.05273926452362e-05,"Beluga whale coronavirus SW1","Delphinapterus leucas"
"6015",0.223917516909446,0.00610314977030911,"Betaarterivirus suid 1","Sus scrofa"
"6056",0.312889378649221,0.038937367198296,"Betacoronavirus 1","Bos taurus"
"6060",0.147494226572653,0.00560754475568455,"Betacoronavirus 1","Bubalus bubalis"
"6073",0.218299146391753,0.0164611562398363,"Betacoronavirus 1","Canis lupus familiaris"
"6131",0.256580914135712,0.0182978334605551,"Betacoronavirus 1","Equus caballus"
"6166",0.347179721666675,0.139078337696226,"Betacoronavirus 1","Homo sapiens"
"6171",0.296824657097716,0.00498797905455963,"Betacoronavirus 1","Kobus ellipsiprymnus"
"6382",0.277746487166677,0.0895013323081812,"Betapapillomavirus 1","Homo sapiens"
"6640",0.524683541012746,0.106256161347427,"Bhanja bandavirus","Homo sapiens"
"6704",0.430627555936996,0.0195371761013391,"Bhanja bandavirus","Ovis aries"
"6770",0.29963893606765,0.00131612091952479,"Bhanja bandavirus","Ursus arctos"
"6861",0.364032130181568,0.0902394272522485,"Bimiti orthobunyavirus","Homo sapiens"
"6863",0.143594437440308,0.000798708784294271,"Bimiti orthobunyavirus","Hylaeamys laticeps"
"7035",0.0574784777605251,0.00101093835021574,"Bluetongue virus","Aepyceros melampus"
"7047",0.0920713377988647,0.000537922919336037,"Bluetongue virus","Antilope cervicapra"
"7069",0.106584465079969,0.0164386793067504,"Bluetongue virus","Bos taurus"
"7082",0.0543811073248278,0.000537922919336037,"Bluetongue virus","Canis aureus"
"7085",0.0743623226907038,0.00655308093868128,"Bluetongue virus","Canis lupus familiaris"
"7090",0.115645987066585,0.00480593368709552,"Bluetongue virus","Capra hircus"
"7092",0.0303386321916894,0.000537922919336037,"Bluetongue virus","Capra nubiana"
"7125",0.0135185855553665,0.00100427260669871,"Bluetongue virus","Damaliscus lunatus"
"7133",0.0332126268055453,0.000537922919336038,"Bluetongue virus","Elephas maximus"
"7172",0.0588858786159243,0.00172379051930802,"Bluetongue virus","Hippotragus niger"
"7182",0.0137478183183249,0.000537922919336037,"Bluetongue virus","Kobus leche"
"7204",0.0421432269821535,0.000537922919336038,"Bluetongue virus","Lycaon pictus"
"7284",0.0430904322561048,0.000537922919336037,"Bluetongue virus","Oreotragus oreotragus"
"7286",0.0390519690914117,0.000537922919336037,"Bluetongue virus","Oryx beisa"
"7298",0.0460286443407064,0.000583842513158097,"Bluetongue virus","Ovis canadensis"
"7478",0.153551275989805,0.00072367284036576,"Bovine alphaherpesvirus 1","Aepyceros melampus"
"7480",0.119953850425971,0.00061733721396477,"Bovine alphaherpesvirus 1","Alces alces"
"7484",0.182170721105424,0.000453726683901857,"Bovine alphaherpesvirus 1","Ammotragus lervia"
"7486",0.23864218377966,0.000305582768985728,"Bovine alphaherpesvirus 1","Antilocapra americana"
"7505",0.284733130353413,0.0112438431332949,"Bovine alphaherpesvirus 1","Bos taurus"
"7546",0.208774410932616,0.000883252538848339,"Bovine alphaherpesvirus 1","Cervus elaphus"
"7556",0.20420202338975,0.000305582768985728,"Bovine alphaherpesvirus 1","Dama dama"
"7557",0.0361167126730495,0.000720381648804414,"Bovine alphaherpesvirus 1","Damaliscus lunatus"
"7601",0.111423923712732,0.000305582768985728,"Bovine alphaherpesvirus 1","Hippopotamus amphibius"
"7667",0.153278418741506,0.000536113607365067,"Bovine alphaherpesvirus 1","Odocoileus hemionus"
"7709",0.0572679355639396,0.000623497840639734,"Bovine alphaherpesvirus 1","Rangifer tarandus"
"7803",0.184650596264425,0.00935757167086226,"Bovine alphaherpesvirus 2","Bos taurus"
"7836",0.0234212606800116,0.00052426466552123,"Bovine alphaherpesvirus 2","Damaliscus lunatus"
"7946",0.0550734515928199,0.000773970683202306,"Bovine alphaherpesvirus 2","Syncerus caffer"
"7973",0.390818548300155,0.00832418859211315,"Bovine alphaherpesvirus 5","Bos taurus"
"8099",0.0499690790397683,0.000806446602373763,"Bovine fever ephemerovirus","Alcelaphus buselaphus"
"8122",0.0612422399344301,0.00928870341594715,"Bovine fever ephemerovirus","Bos taurus"
"8210",0.0151151147402718,0.000179296944902189,"Bovine fever ephemerovirus","Gazella gazella"
"8217",0.0280699930424681,0.000179296944902189,"Bovine fever ephemerovirus","Giraffa camelopardalis"
"8273",0.00543597826364738,0.000179296944902189,"Bovine fever ephemerovirus","Loxodonta africana"
"8436",0.477598865076477,0.00832418859211315,"Bovine foamy virus","Bos taurus"
"8485",0.588081075905738,0.00832418859211315,"Bovine gammaherpesvirus 4","Bos taurus"
"8794",0.127776081333518,0.00832418859211315,"Bovine immunodeficiency virus","Bos taurus"
"8850",0.529858897425679,0.00832418859211315,"Bovine leukemia virus","Bos taurus"
"9001",0.62277653217647,0.00832418859211315,"Bovine mastadenovirus B","Bos taurus"
"9082",0.251819531366813,0.00832418859211315,"Bovine mastadenovirus D","Bos taurus"
"9150",0.557286684171376,0.010395628074693,"Bovine orthopneumovirus","Bos taurus"
"9166",0.604665012498506,0.0029315530522946,"Bovine orthopneumovirus","Capra hircus"
"9427",0.0574010825885921,0.0308490361089587,"Bovine papular stomatitis virus","Bos taurus"
"9450",0.0636919808538144,0.112026179825027,"Bovine papular stomatitis virus","Homo sapiens"
"9511",0.274348528711292,0.00841886774724575,"Bovine respirovirus 3","Bos taurus"
"9679",0.0375533439595735,0.000136465913029981,"Bovine respirovirus 3","Potamochoerus porcus"
"9882",0.453236258346368,0.0895013323081812,"Brazilian mammarenavirus","Homo sapiens"
"9968",0.179211140121081,4.78562972583625e-05,"Bukalasa bat virus","Chaerephon pumilus"
"10043",0.273829026612649,0.000106182459099706,"Bunyamwera orthobunyavirus","Arvicanthis niloticus"
"10202",0.23845638153316,8.14011788593159e-05,"Bunyamwera orthobunyavirus","Lophuromys sikapusi"
"10282",0.417372353238183,0.000141518433511598,"Bunyamwera orthobunyavirus","Odocoileus hemionus"
"10304",0.478697169213424,0.000494337779248509,"Bunyamwera orthobunyavirus","Pan troglodytes"
"10391",0.40217104034908,8.99899195953776e-05,"Bunyamwera orthobunyavirus","Sigmodon hispidus"
"10493",0.00595490518276785,0.00238038352803239,"Bushbush orthobunyavirus","Mus musculus"
"10829",0.108120001941542,4.71864612985834e-05,"Cali mammarenavirus","Handleyomys fuscatus"
"10832",0.0559574841808977,4.71864612985835e-05,"Cali mammarenavirus","Neotoma stephensi"
"10880",0.1205332542992,0.00013411462051051,"California encephalitis orthobunyavirus","Bison bison"
"10976",0.304307512415186,0.00202441750216827,"California encephalitis orthobunyavirus","Equus caballus"
"11053",0.344339227013726,9.56984140726891e-05,"California encephalitis orthobunyavirus","Lepus americanus"
"11157",0.244379973923339,9.5698414072689e-05,"California encephalitis orthobunyavirus","Neotamias amoenus"
"11317",0.188909184756981,9.5698414072689e-05,"California encephalitis orthobunyavirus","Vulpes velox"
"11358",0.0700995404431248,6.31777173033254e-05,"Camelpox virus","Camelus dromedarius"
"11707",0.359629363514137,0.00104385715098629,"Canine mastadenovirus A","Canis lupus"
"11708",0.339407810614067,0.00242092606832685,"Canine mastadenovirus A","Canis lupus familiaris"
"11887",0.162232052243464,0.000129525428815662,"Canine mastadenovirus A","Martes foina"
"11890",0.229123601169799,0.000129525428815662,"Canine mastadenovirus A","Martes pennanti"
"12075",0.207790219042719,0.000129525428815662,"Canine mastadenovirus A","Ursus americanus"
"12087",0.364616628970454,0.000673011360524874,"Canine mastadenovirus A","Vulpes vulpes"
"12133",0.274862508391885,0.000279309834721207,"Canine morbillivirus","Canis latrans"
"12134",0.360880548649943,0.00159146803171521,"Canine morbillivirus","Canis lupus"
"12135",0.3405886433893,0.00368019626901187,"Canine morbillivirus","Canis lupus familiaris"
"12240",0.222030202089131,0.000310842973498561,"Canine morbillivirus","Halichoerus grypus"
"12310",0.331152172852437,0.000819812612865275,"Canine morbillivirus","Macaca mulatta"
"12326",0.275422797542812,0.000279309834721207,"Canine morbillivirus","Meles meles"
"12328",0.0905889639223568,0.000279309834721207,"Canine morbillivirus","Melogale moschata"
"12348",0.397741479099195,0.00120717186370158,"Canine morbillivirus","Mustela putorius"
"12380",0.30369955012643,0.000279309834721207,"Canine morbillivirus","Nyctereutes procyonoides"
"12411",0.43525853214514,0.000405857525558658,"Canine morbillivirus","Panthera leo"
"12459",0.12907636457985,0.000759029385140498,"Canine morbillivirus","Puma concolor"
"12525",0.309337677999192,0.000538972160533677,"Canine morbillivirus","Ursus arctos"
"12539",0.365885165191973,0.00103558257051417,"Canine morbillivirus","Vulpes vulpes"
"12558",0.168941646285726,0.00150260467787125,"Canine parainfluenza virus","Canis lupus familiaris"
"12928",0.02181784143086,5.87046175305925e-05,"Caprine alphaherpesvirus 1","Capra aegagrus"
"12929",0.0649118907833314,0.000877822641049337,"Caprine alphaherpesvirus 1","Capra hircus"
"13108",0.288915689505259,0.00240397864366461,"Caprine arthritis encephalitis virus","Capra hircus"
"13137",0.242494848038549,0.00514045111695639,"Caprine arthritis encephalitis virus","Ovis aries"
"13420",0.129893667349974,4.75098129893486e-05,"Caraparu orthobunyavirus","Heteromys anomalus"
"13502",0.0540620806067736,5.41763153887507e-05,"Caraparu orthobunyavirus","Proechimys guyannensis"
"13667",0.27279741564089,0.00244452820580871,"Cardiovirus A","Cervus elaphus"
"13740",0.14020516490223,0.00166834985176391,"Cardiovirus A","Eulemur albifrons"
"13779",0.412823329866205,0.132293300500366,"Cardiovirus A","Homo sapiens"
"13891",0.182930192640897,0.0200312697604978,"Cardiovirus A","Mus musculus"
"14001",0.256105511947288,0.0101371683542137,"Cardiovirus A","Rattus norvegicus"
"14051",0.185405113039519,0.0326288276663027,"Cardiovirus A","Sus scrofa"
"14888",0.0186396497518036,0.000181793505261899,"Carnivore protoparvovirus 1","Acinonyx jubatus"
"14934",0.206086343393774,0.00115603615108316,"Carnivore protoparvovirus 1","Canis lupus"
"15010",0.156768637054086,0.00287935806291928,"Carnivore protoparvovirus 1","Felis catus"
"15080",0.142875833333725,0.000181793505261899,"Carnivore protoparvovirus 1","Lontra canadensis"
"15090",0.0689026929289614,0.000181793505261899,"Carnivore protoparvovirus 1","Lynx lynx"
"15160",0.164980343482468,0.000181793505261899,"Carnivore protoparvovirus 1","Neofelis nebulosa"
"15167",0.116546491839805,0.000181793505261899,"Carnivore protoparvovirus 1","Neovison vison"
"15228",0.28609740189881,0.000217459748158437,"Carnivore protoparvovirus 1","Prionailurus bengalensis"
"15303",0.149054507674669,0.000621694134224946,"Carnivore protoparvovirus 1","Vulpes lagopus"
"15304",0.126471327399989,0.000181793505261899,"Carnivore protoparvovirus 1","Vulpes macrotis"
"15432",0.0196470630284795,6.0613840227076e-05,"Catu orthobunyavirus","Hylaeamys laticeps"
"15623",0.0511029730933964,0.000100466868029391,"Caviid herpesvirus 3","Cavia porcellus"
"15662",0.356732924874154,7.98672289446992e-05,"Cercopithecine alphaherpesvirus 2","Chlorocebus pygerythrus"
"15803",0.0859999298503916,6.29818225460428e-05,"Cercopithecine alphaherpesvirus 9","Erythrocebus patas"
"16095",0.325293507821197,4.86629859949655e-05,"Cervid alphaherpesvirus 1","Capra ibex"
"16112",0.38251755536678,0.000112141959759793,"Cervid alphaherpesvirus 1","Cervus elaphus"
"16511",0.107629402095258,4.05273926452363e-05,"Cetacean morbillivirus","Indopacetus pacificus"
"17058",0.199895897397174,0.00610314977030911,"Chenuda virus","Sus scrofa"
"17129",0.0597651042305451,0.000815383603498845,"Chikungunya virus","Cercopithecus ascanius"
"17219",0.496507415361812,0.0924621806585228,"Chikungunya virus","Homo sapiens"
"17435",0.372546170085667,0.00235572038654623,"Chikungunya virus","Scotophilus kuhlii"
"18216",0.349594895722738,0.00832418859211315,"Corriparta virus","Bos taurus"
"18554",0.299061770179854,0.00181552524586961,"Cowpox virus","Castor canadensis"
"18621",0.42215867139864,0.0179621954932521,"Cowpox virus","Equus caballus"
"18639",0.289499264538746,0.0177206352616347,"Cowpox virus","Felis catus"
"18665",0.5712226142564,0.136144266439458,"Cowpox virus","Homo sapiens"
"18754",0.133393970602894,0.00181552524586961,"Cowpox virus","Microtus arvalis"
"18771",0.253120452518805,0.0208444002175834,"Cowpox virus","Mus musculus"
"18784",0.165029804576387,0.00181552524586961,"Cowpox virus","Myodes rutilus"
"18836",0.211009918268813,0.00181552524586961,"Cowpox virus","Panthera uncia"
"18879",0.354372832377316,0.0105218889087813,"Cowpox virus","Rattus norvegicus"
"18890",0.182198949674889,0.00181552524586961,"Cowpox virus","Rhombomys opimus"
"18991",0.131210870508976,0.0342653414555338,"Crimean-Congo hemorrhagic fever orthonairovirus","Bos taurus"
"19007",0.142366025869727,0.00988041354057446,"Crimean-Congo hemorrhagic fever orthonairovirus","Capra hircus"
"19118",0.072491690300563,0.00345092789574563,"Crimean-Congo hemorrhagic fever orthonairovirus","Hippotragus niger"
"19119",0.145590722792508,0.12281394636562,"Crimean-Congo hemorrhagic fever orthonairovirus","Homo sapiens"
"19297",0.0818405029072517,0.00288564905930423,"Crimean-Congo hemorrhagic fever orthonairovirus","Rattus rattus"
"19750",0.174240293156037,7.62351389877076e-05,"Deltapapillomavirus 1","Alces alces"
"19905",0.227136225611249,0.00359658604300656,"Deltapapillomavirus 3","Ovis aries"
"19933",0.178787178843829,0.00075363124050159,"Deltapapillomavirus 4","Bos grunniens"
"19936",0.298862617327346,0.00911614234542031,"Deltapapillomavirus 4","Bos taurus"
"19948",0.0988734906942021,0.000235769773208685,"Deltapapillomavirus 4","Capreolus capreolus"
"20242",0.187573562645692,0.00104768131517906,"Dengue virus","Artibeus jamaicensis"
"20404",0.648931481016532,0.104962376281844,"Dengue virus","Homo sapiens"
"20489",0.287554986574371,0.0155806258666704,"Dengue virus","Mus musculus"
"20652",0.221527803015491,0.00222534732723754,"Dengue virus","Rousettus leschenaultii"
"20834",0.39791327416475,0.00359658604300656,"Dera Ghazi Khan orthonairovirus","Ovis aries"
"21113",0.11333571686479,0.0902274075413331,"Dobrava-Belgrade orthohantavirus","Homo sapiens"
"21142",0.0662554811994409,0.000772517196325606,"Dobrava-Belgrade orthohantavirus","Meriones tamariscinus"
"21287",0.00827863735613425,0.000104744541310612,"Dolphin rhabdovirus","Ursus maritimus"
"21306",0.520059184028883,0.00842853773105072,"Dugbe orthonairovirus","Bos taurus"
"21387",0.355479196727133,0.00015369803023648,"Dugbe orthonairovirus","Mastomys natalensis"
"22178",0.36471937023347,0.00517601617145067,"Eastern equine encephalitis virus","Equus caballus"
"22400",0.236641057930811,0.000244925242918931,"Eastern equine encephalitis virus","Phoca vitulina"
"22464",0.310357878817173,0.000219797004643763,"Eastern equine encephalitis virus","Sciurus carolinensis"
"22480",0.149774670258967,0.000582117007920434,"Eastern equine encephalitis virus","Sturnira lilium"
"22485",0.221639139763062,0.00960485702089221,"Eastern equine encephalitis virus","Sus scrofa"
"22625",0.0356432456734158,0.00238038352803239,"Ectromelia virus","Mus musculus"
"22821",0.171626350656762,6.21980845101997e-05,"Entebbe bat virus","Chaerephon pumilus"
"22852",0.103107821656224,5.51927396531115e-05,"Entebbe bat virus","Mops condylurus"
"22864",0.208772721694171,6.2529182047861e-05,"Entebbe bat virus","Pipistrellus pipistrellus"
"22983",0.111343123995433,0.0895013323081812,"Enterovirus A","Homo sapiens"
"23227",0.382757883196032,0.110355762435244,"Enterovirus B","Homo sapiens"
"23361",0.171902197497292,0.0269575798973722,"Enterovirus B","Sus scrofa"
"23432",0.294389069813317,0.0938467981058619,"Enterovirus C","Homo sapiens"
"23474",0.163809315666402,0.0047455175912325,"Enterovirus C","Pan troglodytes"
"23553",0.0553892152929473,0.0895013323081812,"Enterovirus D","Homo sapiens"
"23614",0.864539135974671,0.00832418859211315,"Enterovirus E","Bos taurus"
"24294",0.0722108433358248,0.00862916845074529,"Epizootic hemorrhagic disease virus","Bos taurus"
"24377",0.0260605934880252,0.0001494003383417,"Epizootic hemorrhagic disease virus","Gazella subgutturosa"
"24464",0.0279082992547101,0.000279562763965338,"Epizootic hemorrhagic disease virus","Odocoileus virginianus"
"24672",0.0625393194508174,7.68721269748825e-05,"Equid alphaherpesvirus 1","Diceros bicornis"
"24686",0.30876008005481,0.00193401950180472,"Equid alphaherpesvirus 1","Equus caballus"
"24693",0.161373135211259,7.68721269748824e-05,"Equid alphaherpesvirus 1","Equus zebra"
"24916",0.497755948190804,0.00187703837477727,"Equid alphaherpesvirus 3","Equus caballus"
"25034",0.112151475225507,0.00187703837477727,"Equid alphaherpesvirus 4","Equus caballus"
"25660",0.125202711062606,0.00187703837477727,"Equid gammaherpesvirus 5","Equus caballus"
"25845",0.361570808669197,4.75098129893486e-05,"Equine encephalosis virus","Equus quagga burchellii"
"26146",0.398891841321833,0.00187703837477727,"Equine infectious anemia virus","Equus caballus"
"26544",0.210521168992029,9.29059946577153e-05,"Equine rhinitis A virus","Camelus dromedarius"
"26561",0.406327772931046,0.00190676665213166,"Equine rhinitis A virus","Equus caballus"
"27398",0.00263169347941765,4.71864612985836e-05,"European bat 2 lyssavirus","Myotis dasycneme"
"27399",0.0376375234289103,4.71864612985836e-05,"European bat 2 lyssavirus","Myotis daubentonii"
"27602",0.390845120492101,0.0895013323081812,"Everglades virus","Homo sapiens"
"27819",0.307457467688506,0.00099454492825781,"Eyach coltivirus","Capra hircus"
"27898",0.190695861516749,0.000224060302246203,"Eyach coltivirus","Oryctolagus cuniculus"
"28122",0.00597401455236754,6.53904494910736e-05,"Felid alphaherpesvirus 1","Panthera leo"
"28208",0.154651965219406,0.00157393182397954,"Feline calicivirus","Canis lupus familiaris"
"28214",0.171911354503844,7.23736439238026e-05,"Feline calicivirus","Caracal caracal"
"28373",0.227485594854912,0.000108039886820341,"Feline calicivirus","Prionailurus bengalensis"
"28442",0.432729323501149,6.26902935216898e-05,"Feline foamy virus","Felis silvestris"
"28573",0.176272435987042,0.00181995598716398,"Feline immunodeficiency virus","Felis catus"
"28588",0.12043388178768,7.39141020273529e-05,"Feline immunodeficiency virus","Hyaena hyaena"
"28598",0.136387768957144,7.39141020273529e-05,"Feline immunodeficiency virus","Leopardus pardalis"
"28807",0.180588064652141,0.00216045513838054,"Feline leukemia virus","Felis catus"
"28809",0.301462068769595,0.000197424220986059,"Feline leukemia virus","Felis silvestris"
"28845",0.285125986805474,9.12304213450924e-05,"Feline leukemia virus","Lynx pardinus"
"28923",0.0849102376406786,0.000390716176771119,"Feline leukemia virus","Puma concolor"
"29079",0.387581559623973,0.00377478249292801,"Foot-and-mouth disease virus","Alcelaphus buselaphus"
"29100",0.284168327620335,0.00360388255859732,"Foot-and-mouth disease virus","Bos grunniens"
"29103",0.475018164926069,0.0458927882739865,"Foot-and-mouth disease virus","Bos taurus"
"29107",0.223921302952992,0.00659919579396353,"Foot-and-mouth disease virus","Bubalus bubalis"
"29219",0.527076507746645,0.161308761005184,"Foot-and-mouth disease virus","Homo sapiens"
"29229",0.450629293067319,0.00590253058970961,"Foot-and-mouth disease virus","Kobus ellipsiprymnus"
"29323",0.302839798464201,0.00256730293951034,"Foot-and-mouth disease virus","Oryx leucoryx"
"29329",0.43259155545077,0.0309597807848541,"Foot-and-mouth disease virus","Ovis aries"
"29399",0.23671820438571,0.0404360492563148,"Foot-and-mouth disease virus","Sus scrofa"
"29401",0.14167986482699,0.00361201789532748,"Foot-and-mouth disease virus","Syncerus caffer"
"29428",0.132205879609447,4.05273926452362e-05,"Fort Morgan virus","Dipodomys ordii"
"29545",0.0134993618974856,4.05273926452362e-05,"Gallid alphaherpesvirus 2","Sarcophilus harrisii"
"29589",0.230059532467065,0.00238038352803239,"Gammaarterivirus lacdeh","Mus musculus"
"29643",0.41580998534014,0.0895013323081812,"Gammapapillomavirus 10","Homo sapiens"
"29673",0.245450233663882,0.0895013323081812,"Gammapapillomavirus 13","Homo sapiens"
"30089",0.295274873642926,0.0895013323081812,"Gibbon ape leukemia virus","Homo sapiens"
"30389",0.0541854303146809,4.75098129893487e-05,"Guajara orthobunyavirus","Proechimys guyannensis"
"30530",0.177127310863487,6.06138402270761e-05,"Guama orthobunyavirus","Hylaeamys laticeps"
"30695",0.0752950997633745,0.0895013323081812,"Guanarito mammarenavirus","Homo sapiens"
"30750",0.119470988138876,0.0035648553895106,"Guaroa orthobunyavirus","Bubalus bubalis"
"30770",0.281217620686897,0.0928580968025492,"Guaroa orthobunyavirus","Homo sapiens"
"30809",0.0410153530589498,0.000100466868029391,"Guinea pig type-c oncovirus","Cavia porcellus"
"30834",0.0905126658383588,0.0011713861023293,"Hantaan orthohantavirus","Apodemus agrarius"
"30922",0.485650340142205,0.110630236077277,"Hantaan orthohantavirus","Homo sapiens"
"30991",0.215201467079306,0.0165453672172857,"Hantaan orthohantavirus","Mus musculus"
"31068",0.204728857748117,0.0011713861023293,"Hantaan orthohantavirus","Rattus nitidus"
"31069",0.301285735976101,0.00843575500634044,"Hantaan orthohantavirus","Rattus norvegicus"
"31201",0.183143570502281,0.00100996398954386,"Hendra henipavirus","Dobsonia moluccensis"
"31210",0.348169635070994,0.0132032745453714,"Hendra henipavirus","Equus caballus"
"31238",0.471108214878172,0.102955589316437,"Hendra henipavirus","Homo sapiens"
"31315",0.130696964414363,0.0019461006594711,"Hendra henipavirus","Pteropus alecto"
"31473",0.196600306246005,0.0895013323081812,"Hepacivirus C","Homo sapiens"
"31646",0.454879632610321,0.00941120187442505,"Hepatitis B virus","Bos taurus"
"31777",0.280852163516823,0.00148706507586376,"Hepatitis B virus","Pan troglodytes"
"31840",0.462683873587228,0.0895013323081812,"Hepatitis delta virus","Homo sapiens"
"31959",0.240631862687121,0.0922548494182413,"Hepatovirus A","Homo sapiens"
"31988",0.167990335887081,0.00293423966537305,"Hepatovirus A","Macaca nemestrina"
"32453",0.087018060883506,4.7919189017703e-05,"Human alphaherpesvirus 1","Gorilla beringei"
"32454",0.549901748972384,6.53226279205471e-05,"Human alphaherpesvirus 1","Gorilla gorilla"
"32613",0.376336510883328,0.0895013323081812,"Human alphaherpesvirus 2","Homo sapiens"
"32765",0.544207041211648,0.0895013323081812,"Human betaherpesvirus 7","Homo sapiens"
"32791",0.0553892152929473,0.0895013323081812,"Human coronavirus 229E","Homo sapiens"
"32819",0.425577548400307,0.0895013323081812,"Human coronavirus HKU1","Homo sapiens"
"32828",0.405393516384988,0.0895013323081812,"Human coronavirus NL63","Homo sapiens"
"32937",0.055325089220345,5.5550793274825e-05,"Human gammaherpesvirus 4","Macaca radiata"
"33005",0.0582590793471123,4.75315984891489e-05,"Human gammaherpesvirus 4","Pongo pygmaeus"
"33143",0.252409524068301,0.0922548494182413,"Human gammaherpesvirus 8","Homo sapiens"
"33162",0.17621260507409,0.00293423966537305,"Human gammaherpesvirus 8","Macaca nemestrina"
"33301",0.397427910707329,0.0938467981058619,"Human immunodeficiency virus 1","Homo sapiens"
"33341",0.221144350623511,0.0047455175912325,"Human immunodeficiency virus 1","Pan troglodytes"
"33411",0.466495848058062,0.0895013323081812,"Human mastadenovirus A","Homo sapiens"
"33483",0.10794996718503,0.0895013323081812,"Human mastadenovirus B","Homo sapiens"
"33590",0.442255721621076,0.0895013323081812,"Human mastadenovirus C","Homo sapiens"
"33696",0.425236792876858,0.0895013323081812,"Human mastadenovirus D","Homo sapiens"
"33798",0.142105877994883,0.000400051793551871,"Human mastadenovirus E","Pan troglodytes"
"33861",0.473262228534996,0.0895013323081812,"Human mastadenovirus F","Homo sapiens"
"34055",0.151862334693554,0.0895013323081812,"Human metapneumovirus","Homo sapiens"
"34163",0.286594058408621,0.0895013323081812,"Human orthopneumovirus","Homo sapiens"
"34316",0.631937284663175,0.0895013323081812,"Human orthorubulavirus 2","Homo sapiens"
"34746",0.281217620686897,0.0895013323081812,"Human polyomavirus 2","Homo sapiens"
"34990",0.187517338528061,0.00169097677666269,"Human respirovirus 3","Cavia porcellus"
"35014",0.0015715759546406,0.000826040802805654,"Human respirovirus 3","Cercopithecus mitis"
