"","virus","host","importance_trefle","importance_clover","f_norm_G_trefle","f_norm_G_clover","G_pq_trefle","G_pq_clover","importance_trefle_nrmlz","importance_clover_nrmlz","f_norm_G_trefle_nrmlz","f_norm_G_clover_nrmlz","G_pq_trefle_nrmlz","G_pq_clover_nrmlz","z_score_G_trefle","z_score_G_clover","z_score_I_trefle","z_score_I_clover"
"421","African green monkey polyomavirus","Chlorocebus aethiops",4.59372737823468e+62,367172.538463785,-8.39120331240494e+66,-361392.76329422,8.7962273241032e+65,367172.538463785,8.52598081510503e-08,0.000261393017128638,-0.00109770221195049,-6.61380460655892e-05,0.00753257954858592,0.000261393017128638,-0.579393188924169,-0.216303962303725,-0.476900468942397,24.9984227965135
"466","African green monkey simian foamy virus","Chlorocebus aethiops",5.14051722170713e+62,367172.538463785,-9.60800105803035e+66,-361392.763286591,8.7962273241032e+65,367172.538463785,3.42334603286448e-09,0.000261393017128638,-0.00140496326221751,-6.61380460602601e-05,0.00753257954858592,0.000261393017128638,-0.579393188924169,-0.216303962303725,-0.49791164495819,24.9984227965136
"495","African horse sickness virus","Acinonyx jubatus",2.18537203605501e+65,4430123.27786414,-6.16265519562559e+67,-96001625.5755768,2.0327296174658e+67,50265040.4253693,0.0012215043481856,0.00304768452152283,-0.00701629880717292,-0.0171373865076738,0.174071189615246,0.0357840775016898,2.23130831773216,3.88466702855987,7.45813731921328,59.5589576823716
"526","African horse sickness virus","Camelus dromedarius",1.20880551226904e+65,9761427.59668513,-8.10009313017514e+67,-177361307.162708,2.41888799511917e+67,93668862.5510232,1.45574126692305e-05,0.00654576726805228,-0.0112797351637255,-0.0203410220707436,0.207139556209824,0.0666835997475738,2.78940897542854,7.4519099382839,2.74683457631946,78.6159690760793
"527","African horse sickness virus","Canis adustus",2.14677634277522e+64,3053237.65728964,-3.35038402996569e+67,-58019328.2572517,1.06414119239806e+67,30565800.8787066,-4.36372964096599e-06,0.00213665536510574,-0.000895459059819359,-0.0115445507275744,0.0911268875544058,0.0217600339776673,0.831442696915184,2.26563973653129,0.764211197536747,56.7487952415978
"531","African horse sickness virus","Canis lupus familiaris",1.41714246398001e+65,15149938.4950213,-1.09290249571864e+68,-230150911.469803,2.10825707716931e+67,122790079.126507,1.67617495205608e-05,0.0101421778315976,-0.0178491551653792,-0.0325351882496818,0.180538923762593,0.087415222801331,2.34046540812293,9.8453040741896,2.30076507134767,95.7380279075056
"532","African horse sickness virus","Canis mesomelas",1.69613989357291e+64,3363180.97343075,-3.54506102863662e+67,-68605392.7044907,7.95202646996132e+66,36019751.2995599,-3.34600249946027e-06,0.002341558141573,-0.0013876462414828,-0.0131051269201343,0.0680965483842261,0.0256427441654758,0.442755599199403,2.71388519087057,0.3992031536911,56.8813510434953
"534","African horse sickness virus","Capra hircus",5.00780570507993e+64,30287662.4075291,-7.57658002745983e+67,-332230895.798454,1.07797859967102e+67,181524078.411475,3.09245532419122e-06,0.0201638992543784,-0.0100965453795538,-0.0343047622536918,0.0923118429584587,0.129228418704715,0.851441398346395,14.6724928388676,0.82922964151958,133.834128961643
"548","African horse sickness virus","Ceratotherium simum",3.83317023860174e+64,4081594.57605349,-5.52958800326988e+67,-88193554.5994301,1.11913194837651e+67,46186857.9471643,4.55514637622001e-06,0.0028077719956784,-0.00574095133450214,-0.0113346973197466,0.0958359773560023,0.032880787329611,0.910918836382358,3.54949222557083,0.899008076199925,58.4533556403313
"563","African horse sickness virus","Crocuta crocuta",2.77352003954029e+64,3249956.54961845,-3.28510479447115e+67,-64358383.1604309,1.37990904936274e+67,33836998.2804033,-1.82959771378999e-06,0.00226833975092409,-0.000815164520531653,-0.0130037422192402,0.118167417702545,0.0240888251286351,1.28781049533585,2.53449061569414,1.2223545744551,56.7717697202844
"571","African horse sickness virus","Diceros bicornis",1.94952409659916e+64,3931337.1711337,-5.38309536881673e+67,-84514947.2805557,5.85554901731521e+66,44270322.2076677,1.9916282911342e-06,0.00270946794526307,-0.00537977407100243,-0.0112060654608186,0.0501435298888979,0.0315163904673677,0.139759338370457,3.39197732957481,0.139506050769067,58.0342525785719
"577","African horse sickness virus","Equus asinus",2.4809955058045e+64,5174683.11984269,-6.76532421245696e+67,-110866685.296009,5.97469645089812e+66,58077783.8653276,1.66821339702555e-06,0.00352974017428434,-0.0087780331130034,-0.0145432089184272,0.0511638394925548,0.0413460309864658,0.156979283577796,4.52677531019924,0.150809191024259,62.2158263904831
"578","African horse sickness virus","Equus caballus",6.44674376460607e+64,30595672.9771032,-9.08717462682132e+67,-333439145.707535,1.16139975113635e+67,182281921.644555,3.30436395098999e-06,0.0204060582395172,-0.0140668167645117,-0.039075460252322,0.0994555471431535,0.129767933261098,0.97200695432763,14.7347779273111,0.941676527720017,134.643926083841
"583","African horse sickness virus","Equus quagga",1.77657108418399e+64,2434342.20643445,-3.76111534289553e+67,-24801238.650074,7.58556889703872e+66,13632120.3533925,4.89003324259663e-06,0.00172588118096523,-0.0081413743363612,-0.00350078218539984,0.0649584180045606,0.00970481366592033,0.389792819080851,0.873906270879765,0.386723311207196,59.4144998462893
"584","African horse sickness virus","Equus quagga burchellii",3.4151583744188e+64,2631254.16409605,-4.1170652889342e+67,-37589342.6013641,1.33899593648425e+67,20131526.0560652,7.93486224406892e-06,0.00185589765030289,-0.00890902238285207,-0.00482933552770248,0.114663855709632,0.0143317916890392,1.22868026140269,1.40807487112789,1.2015473594907,57.8511517009022
"598","African horse sickness virus","Genetta maculata",1.78375103395508e+64,2339678.12395271,-2.1018638018463e+67,-16878275.0172119,1.40861523377103e+67,9619270.72990574,-5.49147203186828e-06,0.00166258509604892,0.00168493161177707,-0.0027186039215259,0.120625649051334,0.00684803446681311,1.32929849954692,0.544100998760395,1.18454233275361,60.5823697924569
"634","African horse sickness virus","Loxodonta africana",2.24548025455596e+64,4636113.33075681,-5.39908598095809e+67,-100923303.797749,6.75546479610693e+66,52835604.7214818,1.49328456803405e-06,0.00317561370554746,-0.00558030614388372,-0.0145803956360364,0.0578498873317092,0.0376140824358695,0.269820892665116,4.09593476513732,0.262618300091794,60.2452647405681
"637","African horse sickness virus","Lycaon pictus",5.63942354901927e+64,4599572.02329844,-5.34736476781422e+67,-100039991.550682,1.69068124934468e+67,52372864.1860971,1.01225008458106e-05,0.00315741155029441,-0.00562647700309071,-0.0170530790590195,0.14478014872461,0.0372846538103029,1.73695825242365,4.05790337036489,1.72688973312265,60.1149538890546
"711","African horse sickness virus","Ovis aries",4.16344725913601e+64,35358552.343056,-7.27318162991666e+67,-358761334.897263,9.10711000441387e+66,197363396.074969,1.12013826212148e-05,0.0235424354718631,-0.00953224915946294,-0.0356473012178284,0.0779880146776039,0.140504553490399,0.609695621112094,15.974283576706,0.624697393437027,144.730335053001
"715","African horse sickness virus","Panthera leo",6.95557935618191e+64,5886816.93422914,-7.09394572727399e+67,-124239549.584751,1.62465485061481e+67,65129624.8372287,-5.82994774014911e-06,0.00400680586717472,-0.00881308083904742,-0.0198405133581581,0.139126030403037,0.0463662920214244,1.64153269988121,5.106347073135,1.56441801938949,64.7445465830413
"837","African swine fever virus","Hylochoerus meinertzhageni",4.22650688187975e+61,95641.2173885773,-6.06477597367016e+65,-95438.7870750427,1.16886148525327e+66,95641.2173885773,-3.73756388512281e-09,6.80877346646174e-05,-0.000133974419185279,-1.48073122350212e-05,0.0100094526829958,6.80877346646174e-05,-0.537590564007966,-0.238620388195192,-0.112681793007748,12.666413976461
"868","African swine fever virus","Phacochoerus aethiopicus",2.17267711186582e+63,1460823.25853372,-2.63245164245107e+67,-15718650.3401031,1.37905002277899e+66,8599769.33691961,-3.28242212693439e-07,0.00103689188869565,-0.00339387817459169,-0.00161764371786965,0.0118093855641925,0.00612224340903285,-0.507212779186567,0.460310932875068,-0.492768604207914,47.09135036391
"869","African swine fever virus","Phacochoerus africanus",9.11997740212949e+62,103031.757290565,-1.62450780091391e+67,-1179728.85229111,9.38390830078621e+65,642139.949650067,-4.57678186356614e-08,7.33305431362678e-05,-0.00373001359500336,-7.4797821049799e-05,0.00803583549490797,0.000457144479159948,-0.570899649522135,-0.193705133446677,-0.546795523247754,12.9140001154158
"872","African swine fever virus","Potamochoerus porcus",5.94049941599042e+62,250558.067085916,-1.48774953502816e+67,-5587497.67554092,6.68712526605658e+65,2922882.15488651,-1.49486563916397e-07,0.00017796797193426,-0.000759661119047905,-0.000602582884711822,0.00572646671828317,0.0020808227880381,-0.609875273837039,-0.00625709172849664,-0.580741485467578,19.5826649128857
"890","African swine fever virus","Sus scrofa",1.2851583837406e+63,32798731.7989463,-4.2805888514973e+67,-51105198.2569466,4.99602884015782e+65,42010292.2452861,-9.3154906665241e-08,0.023336550525855,-0.00731884844356046,-0.00481645246249229,0.00427830969788574,0.0299074573670337,-0.634316075387362,3.20623157115451,-0.614551936323414,228.910843476856
"906","Aichivirus A","Apodemus agrarius",1.33704129036661e+63,377902.849735883,-3.49888334030043e+67,-8437243.22814178,5.05924082315857e+65,4414259.36877346,2.18611374568859e-06,0.000268224908534454,-0.0033561312476138,-0.00156800463123119,0.00433244077849939,0.00314254595297263,-0.633402495588799,0.116315173372041,-0.604635892264052,23.4657579193003
"918","Aichivirus A","Canis adustus",1.18499657451057e+63,881065.220685084,-2.30149891728108e+67,-14948471.6161919,8.53631072742145e+65,7930849.7632372,-2.14058164545346e-07,0.000624963639750111,-0.000782831064412903,-0.00348519296795402,0.00731000203116113,0.00564603430496203,-0.583149668957978,0.405334239820568,-0.563131930762937,35.5470215131643
"919","Aichivirus A","Canis aureus",1.45912046323766e+63,688304.428310166,-2.10459988813492e+67,-12907060.7875633,1.12343160507112e+66,6811377.99945495,1.81533050397364e-09,0.000488297859218932,-0.000374969430652072,-0.00298545368912606,0.00962041750490628,0.00484907355416715,-0.544156379351091,0.313327879172708,-0.52110664686543,31.4922086933738
"935","Aichivirus A","Crocuta crocuta",1.50710688037203e+63,1048075.86934141,-2.25676280566244e+67,-16475878.9730873,1.10693322512929e+66,8780861.29095506,-2.72116447104509e-07,0.000743400681478952,-0.000724693098220541,-0.00388759512420123,0.00947913493596439,0.00625116419499658,-0.546540830195435,0.475194391460141,-0.528357015373284,38.7025337339828
"945","Aichivirus A","Felis catus",6.00920531851566e+63,5325144.54283815,-6.06995009979647e+67,-36684531.037365,1.62913808701151e+66,21041205.4824789,2.79993853293664e-08,0.00377738580200688,-0.00925908588791913,-0.00689449197388114,0.0139509948798377,0.0149793996253107,-0.471068460894587,1.48283896620232,-0.463843381764613,87.8018337230979
"1018","Aichivirus A","Oryctolagus cuniculus",4.99231789412478e+63,2692896.7211246,-6.32659537964709e+67,-26789145.8490295,1.30224805480974e+66,14759477.9425548,-8.44566000919589e-08,0.00190931624075738,-0.0098319334032908,-0.00477484337835676,0.0111516979989438,0.0105073883978077,-0.518312688269594,0.966560746216526,-0.509149073421613,62.1824623003244
"1032","Aichivirus A","Peromyscus crinitus",3.57758475919433e+59,153625.197010589,-2.31710294493241e+66,-213569.223228455,2.56807222862651e+63,183939.582239655,-1.08052435204039e-11,0.00010936685256761,-0.00048069349301727,-5.45408991197149e-05,2.19914829800237e-05,0.000130948034872567,-0.706150708897608,-0.231363384075984,-0.295061211478205,16.0085639455756
"1033","Aichivirus A","Peromyscus maniculatus",1.48172927785582e+62,662437.820969545,-4.8257064080295e+67,-12569215.6517448,4.30067881899296e+64,6627295.09675045,1.87881579799087e-07,0.000469851486666507,-0.00655070684598513,-0.00246224249242033,0.000368285221872501,0.00471802348832876,-0.700306248365236,0.298198602594876,-0.685922981110948,30.8126694268611
"1073","Aichivirus A","Vulpes vulpes",1.75228352471604e+63,3215579.61223229,-5.02450011489846e+67,-29132213.9806938,5.77814958176276e+65,16205173.6659519,-1.20285619949721e-07,0.00228054065502497,-0.00693547923620486,-0.00596180647107936,0.00494807259573568,0.0115365905504791,-0.623012368785417,1.08537857299631,-0.609185629489666,68.0167810473229
"1094","Aichivirus B","Bos taurus",1.37979265174771e+64,62542909.2647754,-6.31516326832971e+67,-354008433.542641,3.43204865296934e+66,208720923.359634,5.42482026298641e-06,0.0415519757872146,-0.00950444470220191,0.192376726800566,0.029390076609627,0.148590066466071,-0.210500354424026,16.9077280683208,-0.190067392470988,229.299908968836
"1104","Aichivirus B","Capra hircus",6.51472520245502e+63,27950865.2614489,-4.92449428613133e+67,-246327878.448139,2.04227659184742e+66,137362830.453557,3.34970805895493e-06,0.0189178729638971,-0.00638346884846897,0.0214414243876924,0.017488873719932,0.0977896790533709,-0.411359055476587,11.0429991457456,-0.387018050091406,149.859495061188
"1106","Aichivirus B","Capreolus capreolus",7.54924628790725e+63,7271355.07079019,-3.86397250044237e+67,-122525925.538822,2.97098719745677e+66,64986718.2900724,4.605199341777e-06,0.00492874699954519,-0.00399461764143894,0.00758228527406324,0.0254418133798686,0.0462645557268613,-0.277135889595813,5.09460197000513,-0.24295870628906,77.051779897638
"1164","Aichivirus B","Mustela putorius",7.45393514260474e+63,2062977.39809187,-3.09814684979364e+67,-44703452.1112137,3.910668062319e+66,23394171.2945624,2.75828562233682e-07,0.00143781096837715,-0.00247324206554822,0.000213898883858477,0.0334886959853957,0.0166544944877815,-0.141327232046741,1.67622287109619,-0.13918565332154,47.8185859106425
"1185","Aichivirus B","Ovis aries",5.29746581817058e+63,32792270.6472879,-4.72768505985229e+67,-265395057.78487,1.72538096647467e+66,149350043.394566,2.82222006537172e-06,0.0222106784969732,-0.00602524355659284,0.0245976513608746,0.0147751631497445,0.106323470198873,-0.457158827584702,12.028195800717,-0.433594529061346,162.803204266419
"1228","Aichivirus B","Sus scrofa",4.60243595726863e+63,35233191.4472601,-6.12443860392125e+67,-274269953.815224,1.17993585037264e+66,154996526.290648,1.82908060161399e-06,0.0238957620706021,-0.00926449923946393,0.0221173362449552,0.0101042871309222,0.110343245769637,-0.535990026297443,12.4922649791782,-0.519486437180832,169.15657608081
"1322","Aichivirus C","Sus scrofa",1.15083987340477e+63,32523936.9421889,-3.83004078725659e+67,-32436145.0023537,4.99602884015782e+65,32523936.9421889,-6.29208630016295e-08,0.0231540464376501,-0.00694352336034854,-0.00293531712199524,0.00427830969788574,0.0231540464376501,-0.634316075387362,2.42657365079603,-0.610406321178687,232.111208657316
"1335","Akabane orthobunyavirus","Aepyceros melampus",4.69024776844408e+63,13105749.4474051,-4.16147302947491e+67,-224410802.460381,1.88026296606533e+66,119053599.865757,-9.43581406554622e-07,0.00862371577851957,-0.00280718243820388,-0.0132067071962894,0.0161014828770256,0.0847551938364944,-0.434774295527632,9.53821293572587,-0.430843135398058,85.2690859229293
"1336","Akabane orthobunyavirus","Alcelaphus buselaphus",6.42083568083254e+63,12082941.6509372,-3.45704050561325e+67,-191967870.203205,3.10986195478968e+66,102293339.310932,-1.67663151380212e-06,0.00808822325704635,-0.001398201103882,-0.0113021685370391,0.026631056356837,0.0728234325653017,-0.257064826039996,8.16073238905328,-0.264010033447863,87.9555546669874
"1341","Akabane orthobunyavirus","Antidorcas marsupialis",5.27539999972748e+63,11078051.9571821,-3.55579908064809e+67,-155032281.041039,2.48186663544981e+66,83268872.7996707,-1.3044706265071e-06,0.00755552131874726,-0.00163934683453704,-0.00925500465729279,0.0212532682156586,0.0592797652707722,-0.347826705371392,6.59716287028808,-0.34838215275936,92.8266380980146
"1358","Akabane orthobunyavirus","Bos taurus",3.46291261097477e+64,90597290.6559655,-9.17011658419944e+67,-1014234161.94912,6.20500702060239e+66,553892432.714884,3.16134738637119e-07,0.0378439386651631,-0.0132548080302115,0.497090792889589,0.0531360858014056,0.39432037798313,0.190265232521201,45.2764421373634,0.17671472879063,150.866753754716
"1361","Akabane orthobunyavirus","Bubalus bubalis",9.60295639124128e+63,21531300.877991,-8.12692285226253e+67,-400380794.363464,1.9703897608655e+66,211387620.379862,-1.20508740828959e-06,0.0129780366380062,-0.0111850376241591,-0.0151012448255319,0.0168732765406922,0.15048850904242,-0.421748597688391,17.1268966938453,-0.42165378369967,86.5672832933381
"1366","Akabane orthobunyavirus","Camelus dromedarius",3.80749143463473e+64,18879711.0177172,-7.64121676094353e+67,-356693377.808765,8.28531493077898e+66,188143143.388047,-4.14389673787652e-06,0.0116003655828627,-0.00989792518299737,-0.0163873376895189,0.0709506377014218,0.133940583105777,0.490924568189614,15.2164959116458,0.454462184302479,84.3774638550662
"1372","Akabane orthobunyavirus","Capra hircus",1.62240605812751e+64,44976578.0838646,-7.14747369434418e+67,-682584027.955475,3.69235458811497e+66,364562798.899253,1.20674975372104e-06,0.0251242124256921,-0.00883070758354165,-0.0215810819693356,0.0316191858529507,0.259535123012845,-0.172879284413872,29.7159509005727,-0.170836647805848,110.130530268413
"1392","Akabane orthobunyavirus","Ceratotherium simum",1.23676229642712e+64,11525635.7241949,-5.21683405284679e+67,-173688589.601776,3.83331541605294e+66,92805956.771963,1.18618484253735e-06,0.00778876994810362,-0.00491228489562445,-0.010773993814988,0.0328262927301999,0.0660692903386241,-0.152506728661055,7.38099004295301,-0.147396396915949,90.2947739361872
"1394","Akabane orthobunyavirus","Cervus elaphus",1.61253425988093e+64,28489142.3221458,-7.18637206520838e+67,-506134195.809441,3.64971662086827e+66,267804606.044232,1.24436299053093e-06,0.01663832772621,-0.00902683442313901,-0.0299674862064752,0.0312540589999922,0.190652204731135,-0.179041594735307,21.7636563671432,-0.177493148026012,92.9080154080215
"1407","Akabane orthobunyavirus","Connochaetes taurinus",1.43751258435205e+64,13428279.0738023,-3.7140195665263e+67,-235287403.959713,6.46212202022554e+66,124630903.033371,-3.21617688735926e-06,0.00879202477423841,-0.00193723585928751,-0.0158325448138772,0.0553378697213016,0.0887257198146173,0.227425128226504,9.99659641915402,0.192925422782356,84.5979050637715
"1412","Akabane orthobunyavirus","Damaliscus lunatus",1.95842209568643e+63,10882035.5399791,-2.79340612983672e+67,-146161333.56089,1.17375699775414e+66,78731055.5194124,-5.89737061098411e-07,0.00745552516207752,-2.06131819595612e-05,-0.00928459199919196,0.0100513750162702,0.056049257469105,-0.536883033392394,6.22421192436074,-0.521538880644853,94.3180665953213
"1413","Akabane orthobunyavirus","Damaliscus pygargus",4.6005005947373e+63,9900836.34276785,-2.24731268006563e+67,-95629082.2651787,3.28374602251286e+66,52895839.9672222,9.57749061898661e-08,0.00692897603341071,0.00111306710184067,-0.00662259549825883,0.0281200987884343,0.0376569643809284,-0.231933994190909,4.1008853372934,-0.216860941644016,105.431865110629
"1418","Akabane orthobunyavirus","Diceros bicornis",6.40108703634741e+63,11325653.554757,-5.0786654352205e+67,-166204020.100407,2.00567648435825e+66,88955450.2502336,1.45128100859787e-06,0.00768492196205831,-0.00458516420042088,-0.0110338570314141,0.017175451600436,0.0633280844701258,-0.41664873588844,7.06452731188936,-0.401635705245199,91.3111198886674
"1427","Akabane orthobunyavirus","Equus caballus",2.11557518335243e+64,45198684.3134376,-8.57215165393669e+67,-685440393.073582,3.97809353641399e+66,365857426.884003,3.66485094310809e-06,0.0253825791956861,-0.0124343068347912,-0.031957029425401,0.0340660886885491,0.260456778854561,-0.131582473518757,29.8223528779368,-0.127981728455058,110.710607120876
"1432","Akabane orthobunyavirus","Equus quagga",5.72618595494104e+63,9414638.64015151,-3.54881921420854e+67,-45264605.087265,2.59825289008437e+66,27388382.7217589,1.39180729307256e-06,0.00667923051773632,-0.00733863193670459,-0.00371283368844466,0.022249932682247,0.0194980050084017,-0.331005823314375,2.00449632020297,-0.3188458626286,118.16238967446
"1433","Akabane orthobunyavirus","Equus quagga burchellii",1.08904791684136e+64,9698349.55531701,-3.88455678686375e+67,-71042651.6192741,4.586406252456e+66,40443047.6187404,1.19859351406515e-06,0.00684051722545875,-0.0080298639868488,-0.00463268420852536,0.0392753264164633,0.0287917235944987,-0.0436652492515508,3.07742396832029,-0.0489336225345318,111.810506506321
"1436","Akabane orthobunyavirus","Eudorcas thomsonii",1.08521573260265e+64,9663980.68800929,-3.31160879523865e+67,-75852283.0707359,5.33076202889478e+66,42857279.4882925,-1.31214428586435e-07,0.00680522781585483,-0.00125091650821219,-0.00424010023315269,0.0456495581090783,0.0305104342450029,0.0639137837128674,3.27584316500203,0.0578014837012346,110.656968526356
"1446","Akabane orthobunyavirus","Giraffa camelopardalis",4.30268663850388e+64,14926624.7388083,-7.32484020227925e+67,-273800069.653679,9.64567184124469e+66,144689277.427824,-1.57326584135364e-07,0.009568890087747,-0.00924788352480732,-0.0161873214057238,0.0825999462799677,0.10300543426058,0.687532004507939,11.6451400343236,0.659631607532112,83.2991361224294
"1454","Akabane orthobunyavirus","Hippopotamus amphibius",1.39587290109967e+64,9446719.36707729,-3.00962431511793e+67,-56137233.9951363,7.64874910931072e+66,32874416.8459358,-2.06729121716986e-06,0.00668580430580292,-0.000617059396830655,-0.00272386910159561,0.0654994567445797,0.0234035558368733,0.398924025358616,2.45537864746251,0.363062232754801,115.717945172006
"1459","Akabane orthobunyavirus","Hippotragus equinus",6.74212416773993e+63,10387038.3638964,-3.33659373621628e+67,-122802062.427433,3.28374602251286e+66,66769933.0944111,-5.49056587972885e-08,0.0071900207962492,-0.00110507591230657,-0.00729247356704121,0.0281200987884343,0.0475340403670927,-0.231933994190909,5.24115957843134,-0.226943474677911,98.9670461760711
"1460","Akabane orthobunyavirus","Hippotragus niger",1.23193707831784e+64,13725129.144673,-5.11070095612457e+67,-245626371.790512,4.02630487241051e+66,129931677.506659,-2.22736458910938e-06,0.0089433075964922,-0.00499349051531794,-0.0184448496989447,0.034478942643042,0.0924993828409656,-0.124614664483618,10.4322527560808,-0.138368688566102,83.9508005395438
"1467","Akabane orthobunyavirus","Kobus ellipsiprymnus",1.0807199548308e+64,13194172.6810314,-2.92639721412312e+67,-226707623.114124,6.04103803962762e+66,120261729.232233,-9.99311126431701e-07,0.0086665312326511,-0.000168168645870992,-0.0122565282318998,0.0517319504292915,0.0856152706317424,0.166567392096263,9.63750582528099,0.149923094956685,85.0992715864044
"1469","Akabane orthobunyavirus","Kobus leche",5.5180610990405e+63,10231658.5768188,-2.46728792954518e+67,-115527074.437363,3.74518513919369e+66,63043469.4259972,-1.83508982996849e-06,0.00710620390552263,0.000683158896350733,-0.00787640441661708,0.032071596089673,0.0448811415811911,-0.165243877024119,4.93489159445033,-0.176636310077989,100.532980080041
"1478","Akabane orthobunyavirus","Loxodonta africana",7.46733302875491e+63,12200994.0482198,-5.09375187656079e+67,-199678813.766525,2.31392083686699e+66,106096909.908808,2.22435264463777e-06,0.00814619458973052,-0.00477281241751371,-0.0156442013485361,0.0198150776811673,0.0755312243805617,-0.372099300780563,8.47333758330615,-0.354741085713157,87.4070324364426
"1512","Akabane orthobunyavirus","Nanger granti",6.75628641534671e+63,10822257.4528938,-3.46208836884868e+67,-145495959.300907,3.16733776369883e+66,78344600.9581122,5.90572258249433e-08,0.00741611336036312,-0.00135305916433026,-0.00937694225026497,0.0271232458907991,0.0557741374283089,-0.248758056431951,6.19245026775507,-0.242511312020391,94.5132778242839
